BootArgs: Version=2, Revision=0, at 0xffffff8017158000
CommandLine: 
Video: baseAddr=0xa0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x1715c000, length=0x13b0
Kernel image: kaddr=0x14500000, ksize=0x2d26000
EFI Runtime: Mode=64, PageStart=0x1715e (0x1715e000), PageCount=0xc4, SystemTable=0x171b3e10
MemoryMap: Size=0x3060, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    000000008bcd3000 - 000000008bcd3fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bcd4000 - 000000008bce9fff 0000000000000016 0000000000000000 000000000000000f
BS_code    000000008bcea000 - 000000008bcf2fff 0000000000000009 0000000000000000 000000000000000f
BS_data    000000008bcf3000 - 000000008bcf6fff 0000000000000004 0000000000000000 000000000000000f
BS_code    000000008bcf7000 - 000000008bd07fff 0000000000000011 0000000000000000 000000000000000f
BS_data    000000008bd08000 - 000000008bd15fff 000000000000000e 0000000000000000 000000000000000f
BS_code    000000008bd16000 - 000000008bd16fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bd17000 - 000000008bd18fff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bd19000 - 000000008bd19fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bd1a000 - 000000008bd1bfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008bd1c000 - 000000008bd1cfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bd1d000 - 000000008bd1ffff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008bd20000 - 000000008bd20fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008bd21000 - 000000008c141fff 0000000000000421 0000000000000000 000000000000000f
BS_code    000000008c142000 - 000000008c146fff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008c147000 - 000000008c149fff 0000000000000003 0000000000000000 000000000000000f
BS_code    000000008c14a000 - 000000008c14afff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c14b000 - 000000008c14bfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008c14c000 - 000000008c152fff 0000000000000007 0000000000000000 000000000000000f
BS_data    000000008c153000 - 000000008c157fff 0000000000000005 0000000000000000 000000000000000f
BS_code    000000008c158000 - 000000008c159fff 0000000000000002 0000000000000000 000000000000000f
BS_data    000000008c15a000 - 000000008c160fff 0000000000000007 0000000000000000 000000000000000f
BS_code    000000008c161000 - 000000008c161fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c162000 - 000000008c167fff 0000000000000006 0000000000000000 000000000000000f
BS_code    000000008c168000 - 000000008c168fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c169000 - 000000008c16afff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008c16b000 - 000000008c16bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c16c000 - 000000008c16dfff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008c16e000 - 000000008c171fff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008c172000 - 000000008c172fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008c173000 - 000000008c173fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c174000 - 000000008c1a6fff 0000000000000033 0000000000000000 000000000000000f
BS_code    000000008c1a7000 - 000000008c1a7fff 0000000000000001 0000000000000000 000000000000000f
BS_data    000000008c1a8000 - 000000008cd02fff 0000000000000b5b 0000000000000000 000000000000000f
available  000000008cd03000 - 000000008cd13fff 0000000000000011 0000000000000000 000000000000000f
ACPI_NVS   000000008cd14000 - 000000008cd52fff 000000000000003f 0000000000000000 000000000000000f
available  000000008cd53000 - 000000008cd63fff 0000000000000011 0000000000000000 000000000000000f
ACPI_recl  000000008cd64000 - 000000008cd8efff 000000000000002b 0000000000000000 000000000000000f
available  000000008cd8f000 - 000000008ce38fff 00000000000000aa 0000000000000000 000000000000000f
available  000000008ce39000 - 000000008ce8efff 0000000000000056 0000000000000000 000000000000000f
available  000000008ce8f000 - 000000008ced0fff 0000000000000042 0000000000000000 000000000000000f
available  000000008ced1000 - 000000008cefefff 000000000000002e 0000000000000000 000000000000000f
available  000000008ceff000 - 000000008cf86fff 0000000000000088 0000000000000000 000000000000000f
reserved   000000008cf87000 - 000000008cfeffff 0000000000000069 0000000000000000 000000000000000f
BS_data    000000008cff0000 - 000000008cffffff 0000000000000010 0000000000000000 000000000000000f
reserved   000000008d000000 - 000000008f9fffff 0000000000002a00 0000000000000000 0000000000000000
MemMapIO   00000000e00f8000 - 00000000e00f8fff 0000000000000001 ffffff80171e2000 8000000000000001
MemMapIO   00000000fed1c000 - 00000000fed1ffff 0000000000000004 ffffff80171e3000 8000000000000001
MemMapIO   00000000ffe10000 - 00000000ffe3ffff 0000000000000030 ffffff80171e7000 8000000000000001
available  0000000100000000 - 000000026f5fffff 000000000016f600 0000000000000000 000000000000000f

